ID,SKU,Name,URL,MRP,SP,Quantity,SubcategoryID,Hide,Keywords,Description
"000001","000001","SANTOOR 100G","https://wiproconsumercare.com/santoor-classic/",42,40,"100G","50710",0,"santoor sandal and turmeric bath soap","For centuries, Sandal and Turmeric have been an integral part of skin care. Taking this tradition forward, we combine both these ingredients to give you a unique and enduring natural beauty treatment. The nourishing qualities of Sandal and Turmeric not only make skin smooth and soft but also give a youthful radiance that lasts long."
"000002","000002","LASA LAMSA MIX 250G","https://www.lasalamsa.com/",95,95,"100G","30606",0,"lasa lamsa tea","The Nilgiri Tea Emporium, manufacturer of Lasa and Lamsa Tea is one of the largest whole sale tea manufacturing units in India. Apart from packet tea, NTE is also famous for tea blends, available in loose tea bags catering to the changing demands of the tea industry."
"000004","000004","JOHNSON BABY SOAP 150G","https://www.johnsonsbaby.in/baby-products/johnsons-baby-soap",85,84,"150G","50710",1,"johnson's baby soap, johnson baby soap","For  you're baby’s soft skin, trust JOHNSON'S Baby Soap. Made especially for babies The JOHNSON'S® baby soap is safe Clinically proven to be gentle and mild on your baby’s skin  Comes with Triple Baby Protection Enriched with 1/4th baby lotion & Vitamin E  Used by 9 out of 10 pediatricians for their own babies  No parabens & SLS, No Dyes & Alcohol used"
"000005","000005","DETTOL ANTISEPTIC LIQUID 1L","https://www.dettol.co.in/personal-hygiene/antiseptics",301,300,"1L","50903",0,"dettol antiseptic liquid","Dettol Liquid Antiseptic Disinfectant is a proven effective concentrated antiseptic disinfectant that kills bacteria and provides protection against bacteria which can cause infection and illness. It can be used for gentle antiseptic wound cleansing and disinfection and antiseptic skin cleansing. Alternatively, use on floors and hard surfaces around the home for a hygienic clean."
"000006","000006","BAMBINO VERMICELLI 875G","https://bambinoagro.com",70,70,"875G","20408",1,"bambino vermicelli, samiya, semiya","Rich in calcium, wheat and protein Bambino Vermicelli is a ready to use product that can be cooked in various ways. Prepare a creamy sweet kheer with milk and delicious dry fruits or a savoury upma or vegetable pulao using freshly cut vegetables, traditional Indian spices and roasted aromats."
"000007","000007","BAMBINO VERMICELLI 500G","https://bambinoagro.com",50,45,"500G","20408",0,"bambino vermicelli, samiya, semiya","Rich in calcium, wheat and protein Bambino Vermicelli is a ready to use product that can be cooked in various ways. Prepare a creamy sweet kheer with milk and delicious dry fruits or a savoury upma or vegetable pulao using freshly cut vegetables, traditional Indian spices and roasted aromats."
"000008","000008","BAMBINO VERMICELLI 250G","https://bambinoagro.com",16,16,"250G","20408",1,"bambino vermicelli, samiya, semiya","Rich in calcium, wheat and protein Bambino Vermicelli is a ready to use product that can be cooked in various ways. Prepare a creamy sweet kheer with milk and delicious dry fruits or a savoury upma or vegetable pulao using freshly cut vegetables, traditional Indian spices and roasted aromats."
"000009","000009","BAMBINO GULAB JAMUN MIX OFFER","",99,96,"180G","21101",1,"","BAMBINO GULAB JAMUN MIX OFFER"
"000010","000010","PARACHUTE 500ML JAR","https://www.parachuteadvansed.com/",208,205,"500ml","50601",0,"parachute advance hair oil, nariyal ka tel, copper nune, khoper noone","Parachute Advansed Gold strengthens this relationship with the goodness of pure coconut oil, and Vitamin E. It goes 10 layers deep, nourishing it from within. Made with the highest quality standards, every coconut is handpicked and sun-dried to ensure a fresh, long lasting aroma. Give your hair the best nourishment with Parachute Advansed Gold, and see them grow long, strong and gorgeous."
"000011","000011","PARACHUTE ADVANCE GOLD 4","https://www.parachuteadvansed.com/",120,118,"275ML","50601",1,"parachute advance hair oil, nariyal ka tel, copper nune, khoper noone","Parachute Advansed Gold strengthens this relationship with the goodness of pure coconut oil, and Vitamin E. It goes 10 layers deep, nourishing it from within. Made with the highest quality standards, every coconut is handpicked and sun-dried to ensure a fresh, long lasting aroma. Give your hair the best nourishment with Parachute Advansed Gold, and see them grow long, strong and gorgeous."
