SubCatgCode,SubCatgDesc,
09901,CELL ACCESSORIES,
09902,REACHARGE COPANS,
09903,CELL PHONES,
10101,REGULAR RICE,
10102,BOILED RICE,
10103,BASMATI RICE,
10104,BROWN RICE,
10105,RICE DERIVATIVES,
10201,ARHA DAL,
10202,CHANA DAL,
10203,URAD DAL,
10204,MOONG DAL,
10205,MASOOR DAL,
10206,RAJMA,
10207,CHANA WHITE,
10208,CHANA BLACK,
10209,DALS,
10210,WHOLE PULSES,
10280,SNACKS,
10301,WHEAT FLOUR - NORMAL,
10302,WHEAT FLOOR - MP,
10303,WHEAT FLOUR - BLENDED,
10304,MAIDA,
10305,SOOJI,
10306,BESAN,
10307,SOYA FLOUR,
10308,RICE FLOUR,
10309,CORN FLOUR,
10310,MAIZE FLOUR,
10371,SOYA GRANULES,
10401,SPICES POWDERED -BASIC,
10402,SPICES POWDERED - SPECIALITY,
10403,SPICES - WHOLE,
10404,SPICES -PASTE,
10405,BADIYAN,
10407,CHAT MASALA,
10408,HING,
10501,DRY FRUITS -BASIC,
10502,DRY FRUITS -OTHERS,
10503,HERBS,
10504,ESSENCE AND FOOD COLORS,
10601,BASIC SALT,
10602,SPECIALITY SALTS,
10603,OTHER SALTS,
10701,SUGAR,
10702,JAGGERY,
10703,SUGAR PRODUCTS,
10741,MEAT MASALA,
10801,SUNFLOWER OIL,
10802,GROUND NUT OIL,
10803,MUSTARD OIL,
10804,COCONUT OIL,
10805,KARDI OIL,
10806,CORN OIL,
10807,SOYA OIL,
10808,VEGETABLE OIL,
10809,BLEND OIL,
10810,PURE GHEE,
10811,VANASPATI GHEE,
10812,OTHER OILS,
10813,OLIVE OIL/ OLIVE OIL BLEND,
10814,TILL (GINGELLY) OIL,
12741,SAMBHAR MASALA,
13741,RASAM POWDER,
15057,FACE POWDERS,
20101,NUTS,
20102,CHIPS,
20103,PLAIN NAMKEENS,
20104,MIXED NAMKEENS,
20105,PAPADS,
20106,WAFERS,
20107,FRYUMS,
20108,OTHER SNACSKS,
20109,SWEET N SALT,
20201,BAKERY  BISCUITS,
20202,CREA BISCUITS,
20203,GLUCOSE BISBUITS,
20204,WAFER BISCUITS,
20205,HEALTH BISCUITS,
20206,NUT BISCUITS,
20207,SALT BISCUITS,
20208,RUSK,
20301,PICKLES - VEG,
20302,PICKLES - NON VEG,
20401,NOODLES,
20402,NOODLES - CHINES,
20403,NOODLES THAI,
20404,NOODLES PLAIN,
20405,PASTA PLAIN,
20406,PASTA COLOURED,
20407,VERMICELLI - PLAIN,
20408,VERMICELLI - ROASTED,
20409,VINEGAR,
20501,SOUPS -VEGETARIAN,
20502,SOUPS NO VEGETARIAN,
20507,SANITIZER,
20601,WHEAT PORRIDGE,
20602,INSTANT WHEAT PORRIDGE,
20603,CORN FLAKES,
20604,WHEAT FLAKES,
20605,RICE FLAKES,
20606,OTHERS FLAKES,
20607,OTHER BREAKFAST CEREALS,
20608,OATS,
20701,TOMATO SAUCES,
20702,CHILLI SAUCES,
20703,BLENDED SAUCES,
20704,CONTINENTAL SAUCES,
20705,CHINESE SAUCES,
20706,OTHER SAUCES,
20801,FLAVOURED JAMS,
20802,MARMALADES,
20803,FRUIT PRESERVES,
20804,SALSA,
20805,SUGARFREE JAMS,
20806,BREAD SPREADS,
20807,SYRUP/TOPPINGS,
20808,DRESSINGS,
20901,BABY CEREALS,
20902,FOLLOW UP,
20903,MILK POWDER,
20904,FRUIT- CEREALS,
21001,CHOCOLATES,
21002,SWEETS,
21003,CAKES,
21004,CHIKKI,
21005,GIFT PACKS,
21006,JELLIES,
21007,DESERTS,
21008,CANDY,
21009,REVRI,
21010,GAZAK,
21011,ESSENCE AND FOOD COLOURS,
21101,INSTANT MIX,
21102,READY TO COOK NORTH INDIAN,
21103,READY TO COOK OTHERS,
21104,HEAT AND EAT FOODS,
21201,VEG CANNED FOODS,
21202,NON-VEG CANNED FOODS,
21203,HONEY,
21301,CUSTARD POWDERS,
21302,MOUTH FRESHNER,
30101,AERATED COLA,
30102,AERATED ORANGE,
30103,AERATED LEMONADE,
30104,AERATED OTHERS,
30201,SYRUPS ARTIFICIAL,
30202,POWDERS FRUITS BASED,
30203,POWDERS FRUIT  BASED,
30204,SQUASHES,
30205,CRUSHES,
30206,CORDIALS,
30301,FRUIT DRINKS,
30302,JUICES -SUGARFREE,
30303,JUICES SWEETENED,
30304,JUICES BLENDED,
30401,MILK,
30402,CONDENSED MILK,
30403,LASSI,
3042,FLAVOURS,
30501,MINERAL WATER,
30502,DRINKING WATER,
30503,SODA WATER,
30504,FLAVOURED SODA WATER,
30601,READY TO DRINK,
30602,FLAVOURED TEA,
30603,TEA,
30604,LEAF TEA,
30605,SPECIALITY TEA,
30606,BLENDED TEA,
30607,TEA BAGS,
30701,PLAIN COFFEE,
30702,BLENDED COFFEE,
30703,INSTANT COFFEE,
30704,READY TO DRINK COFFEE,
30801,GENERAL HEALTH  DRINKS,
30802,SPECIALITY HEALTH DRINKS,
30803,INSTANT DRINK MIX,
40101,DETERGENT POWDERS,
40102,AERATED SOAPS,
40103,LIQUID DETERGENTS,
40104,FABRIC WHITENERS,
40105,FABRIC SOFTENERS,
40106,STARCH,
40107,DETERGENT SOAPS,
40109,FABRIC CONDITIONERS,
40201,UTENSIL CLEANING  - POWDERS,
40202,UTENSIL CLEANING  - CAKE,
40203,UTENSIL CLEANING  -LIQUID,
40204,UTENSIL CLEANIG AIDS,
40301,REPELLENT COILS,
40302,REPELLENT MATS,
40303,REPELLENT LIQUID,
40304,REPELLENT CREAMS,
40305,KILLER LIQUID,
40306,KILLER SPRAY,
40307,KILLER CAKE,
40308,MOTH REPELLENT,
40309,MULTIPURPOSE CLEANERS,
40310,TOILET CLEANERS,
40311,FLOOR CLEANERS,
40312,DE-ODOURISERS,
40313,AIR FRESHNERS,
40401,COCKROACH REPELENT,
40402,MOSQUITO REPELLANT,
40403,RAT REPELLENT,
40501,SHOE BRUSHES,
40502,SHOE LACES,
40503,LIQUID POLISH,
40504,WAX POLISH,
40505,SHOE SHINER,
40506,SHOE ACCESSORIES,
40507,UC- BARS,
50101,MOUTH WASH,
50102,TOOTH PASTE,
50103,TOOTH POWDER,
50104,TOOTH BRUSH,
