S_No,Code,Original_Name,Cleaned_Name,Dept_Code,Department,Cat_Code,Category,Sub_Code,Subcategory,MRP,SP,Pack_Size,Out_of_Stock,Needs_Review
1,6482,PAMPERS 40RS,Pampers 40rs,BABY,Baby Care,BABY_02,Diapers & Wipes,BABY_02_01,Diapers,40,40,4,Yes,No
2,660,HIMALYA BABY SOAP SET,Himalya Baby Soap Set,BABY,Baby Care,BABY_03,Baby Bath & Skin,BABY_03_01,Baby Soap,115,112,,Yes,No
3,85,J&J BABY SOAP 150G,J&j Baby Soap 150 G,BABY,Baby Care,BABY_03,Baby Bath & Skin,BABY_03_01,Baby Soap,85,83,150G,Yes,No
4,6328,JOHNSON BABY SOAP 100G,Johnson Baby Soap 100 G,BABY,Baby Care,BABY_03,Baby Bath & Skin,BABY_03_01,Baby Soap,62,61,100G,Yes,No
5,4,JOHNSON BABY SOAP 150G,Johnson Baby Soap 150 G,BABY,Baby Care,BABY_03,Baby Bath & Skin,BABY_03_01,Baby Soap,85,84,150G,Yes,No
6,1856,JOHNSON BABY SOAP 75G,Johnson Baby Soap 75 G,BABY,Baby Care,BABY_03,Baby Bath & Skin,BABY_03_01,Baby Soap,54,52,75G,No,No
7,6327,JOHNSONS BABY SOAP MILK IMPROVED,Johnsons Baby Soap Milk Improved,BABY,Baby Care,BABY_03,Baby Bath & Skin,BABY_03_01,Baby Soap,45,44,1,Yes,No
8,5138,SANTOOR BABY SOAP,Santoor Baby Soap,BABY,Baby Care,BABY_03,Baby Bath & Skin,BABY_03_01,Baby Soap,48,47,100G,No,No
9,5275,JHONSONS BABY NO MORE TEARS SHAMPOO 100ML,Jhonsons Baby No More Tears Shampoo 100 Ml,BABY,Baby Care,BABY_03,Baby Bath & Skin,BABY_03_02,Baby Shampoo,95,93,100ML,No,No
10,7364,JOHNSON BABY NO MORE TEARS SHAMPOO,Johnson Baby No More Tears Shampoo,BABY,Baby Care,BABY_03,Baby Bath & Skin,BABY_03_02,Baby Shampoo,155,150,200ML,Yes,No
11,1654,JOHNSON BABY NO MORE TEARS SHAMPOO 50ML,Johnson Baby No More Tears Shampoo 50 Ml,BABY,Baby Care,BABY_03,Baby Bath & Skin,BABY_03_02,Baby Shampoo,55,54,50ML,Yes,No
12,6668,JOHNSONS BABY SHAMPOO 200ML,Johnsons Baby Shampoo 200 Ml,BABY,Baby Care,BABY_03,Baby Bath & Skin,BABY_03_02,Baby Shampoo,165,163,200ML,Yes,No
13,6856,HIM BABY CREAM 100ML,Him Baby Cream 100 Ml,BABY,Baby Care,BABY_03,Baby Bath & Skin,BABY_03_03,Baby Lotion,128,126,100ML,Yes,No
14,7079,JOHNSON BABY CREAM 100G,Johnson Baby Cream 100 G,BABY,Baby Care,BABY_03,Baby Bath & Skin,BABY_03_03,Baby Lotion,145,143,100G,No,No
15,911,JOHNSON BABY CREAM 30G,Johnson Baby Cream 30 G,BABY,Baby Care,BABY_03,Baby Bath & Skin,BABY_03_03,Baby Lotion,48,47,30G,Yes,No
16,656,JOHNSON BABY CREAM 50G,Johnson Baby Cream 50 G,BABY,Baby Care,BABY_03,Baby Bath & Skin,BABY_03_03,Baby Lotion,75,73,50G,No,No
17,7270,JOHNSON BABY LOTION 50ML,Johnson Baby Lotion 50 Ml,BABY,Baby Care,BABY_03,Baby Bath & Skin,BABY_03_03,Baby Lotion,48,47,50ML,Yes,No
18,7078,JOHNSON BABY MILK CREAM,Johnson Baby Milk Cream,BABY,Baby Care,BABY_03,Baby Bath & Skin,BABY_03_03,Baby Lotion,50,49,30G,Yes,No
19,7080,JOHNSON BABY MILK CREAM 50G,Johnson Baby Milk Cream 50 G,BABY,Baby Care,BABY_03,Baby Bath & Skin,BABY_03_03,Baby Lotion,75,74,50G,Yes,No
20,7734,DABUR LAL TAIL 100ML,Dabur Lal Tail 100 Ml,BABY,Baby Care,BABY_03,Baby Bath & Skin,BABY_03_04,Baby Oil,100,98,100ML,No,No
21,7231,DABUR LAL TAIL 50ML,Dabur Lal Tail 50 Ml,BABY,Baby Care,BABY_03,Baby Bath & Skin,BABY_03_04,Baby Oil,50,48,50ML,No,No
22,8083,HIMALAYA BABY HAIR OIL 100ML,Himalaya Baby Hair Oil 100 Ml,BABY,Baby Care,BABY_03,Baby Bath & Skin,BABY_03_04,Baby Oil,125,123,100ML,No,No
23,6857,HIMALAYA BABY MASSAGE OIL 200ML,Himalaya Baby Massage Oil 200 Ml,BABY,Baby Care,BABY_03,Baby Bath & Skin,BABY_03_04,Baby Oil,170,168,200ML,Yes,No
