S_No,Code,Original_Name,Cleaned_Name,Description,Keywords,Dept_Code,Department,Cat_Code,Category,Sub_Code,Subcategory,MRP,SP,Pack_Size,Out_of_Stock,Needs_Review
1,6482,PAMPERS 40RS,Pampers 40rs,PAMPERS 40RS,,BABY,Baby Care,BABY_02,Diapers & Wipes,BABY_02_01,Diapers,40,40,4,Yes,No
2,660,HIMALYA BABY SOAP SET,Himalya Baby Soap Set,"Himalaya Gentle Baby Soap is formulated to gently cleanse and condition your baby's skin, leaving it soft and hydrated.",himalaya refreshing baby soap,BABY,Baby Care,BABY_03,Baby Bath & Skin,BABY_03_01,Baby Soap,115,112,,Yes,No
3,85,J&J BABY SOAP 150G,J&j Baby Soap 150 G,J&J BABY SOAP 150G,johnson & johnson baby soap,BABY,Baby Care,BABY_03,Baby Bath & Skin,BABY_03_01,Baby Soap,85,83,150G,Yes,No
4,6328,JOHNSON BABY SOAP 100G,Johnson Baby Soap 100 G,"We at JOHNSON’S® care for your little ones. While normal soap bars are fine for adults, baby soap is different! We understand that a new born’s skin comes with a natural protective coating of moisturizing oils that cover their skin's outer layer. Wash away that oil and you might leave their tender skin vulnerable to dryness, irritation and rashes. That is why we recommend JOHNSON'S® soap for babies around the world! ",johnsons baby soap,BABY,Baby Care,BABY_03,Baby Bath & Skin,BABY_03_01,Baby Soap,62,61,100G,Yes,No
5,4,JOHNSON BABY SOAP 150G,Johnson Baby Soap 150 G,"For  you're baby’s soft skin, trust JOHNSON'S Baby Soap. Made especially for babies The JOHNSON'S® baby soap is safe Clinically proven to be gentle and mild on your baby’s skin  Comes with Triple Baby Protection Enriched with 1/4th baby lotion & Vitamin E  Used by 9 out of 10 pediatricians for their own babies  No parabens & SLS, No Dyes & Alcohol used","johnson's baby soap, johnson baby soap",BABY,Baby Care,BABY_03,Baby Bath & Skin,BABY_03_01,Baby Soap,85,84,150G,Yes,No
6,1856,JOHNSON BABY SOAP 75G,Johnson Baby Soap 75 G,"We at JOHNSON’S® care for your little ones. While normal soap bars are fine for adults, baby soap is different! We understand that a new born’s skin comes with a natural protective coating of moisturizing oils that cover their skin's outer layer. Wash away that oil and you might leave their tender skin vulnerable to dryness, irritation and rashes. That is why we recommend JOHNSON'S® soap for babies around the world! ",johnsons baby soap,BABY,Baby Care,BABY_03,Baby Bath & Skin,BABY_03_01,Baby Soap,54,52,75G,No,No
7,6327,JOHNSONS BABY SOAP MILK IMPROVED,Johnsons Baby Soap Milk Improved,"JOHNSON'S® baby milk soap’s formula contains natural milk proteins and vitamin E, to help deliver complete skin nourishment, for baby skin that is soft, smooth, and healthy. Clinically proven mild, the soap is gentle for baby’s delicate skin. This safe soap for baby rinses easily! JOHNSON'S® baby milk soap! Milder than your body soap! ",johnsons baby milk improved soap,BABY,Baby Care,BABY_03,Baby Bath & Skin,BABY_03_01,Baby Soap,45,44,1,Yes,No
8,5138,SANTOOR BABY SOAP,Santoor Baby Soap,"Give your baby a bath that is healthy and nourishing with Santoor Baby. Made with natural ingredients like Saffron, Milk Cream and Almond oil, it takes care of your baby's delicate skin.",santoor baby bath soap,BABY,Baby Care,BABY_03,Baby Bath & Skin,BABY_03_01,Baby Soap,48,47,100G,No,No
9,5275,JHONSONS BABY NO MORE TEARS SHAMPOO 100ML,Jhonsons Baby No More Tears Shampoo 100 Ml,"We know baby’s delicate hair needs special care during bath time. We also understand baby's eyes are very delicate and need special care. That’s why our baby shampoo with NO MORE TEARS® formula , is specially designed to gently cleanse baby’s fine hair and delicate scalp while helping prevent irritation, redness and stinging to the eyes. This baby shampoo cleanses gently and rinses easily, leaving your baby’s hair soft, shiny, manageable and clean while maintaining a fresh smell.",johnson baby no more tears shampoo,BABY,Baby Care,BABY_03,Baby Bath & Skin,BABY_03_02,Baby Shampoo,95,93,100ML,No,No
10,7364,JOHNSON BABY NO MORE TEARS SHAMPOO,Johnson Baby No More Tears Shampoo,"We know baby’s delicate hair needs special care during bath time. We also understand baby's eyes are very delicate and need special care. That’s why our baby shampoo with NO MORE TEARS® formula , is specially designed to gently cleanse baby’s fine hair and delicate scalp while helping prevent irritation, redness and stinging to the eyes. This baby shampoo cleanses gently and rinses easily, leaving your baby’s hair soft, shiny, manageable and clean while maintaining a fresh smell.",johnson baby no more tears shampoo,BABY,Baby Care,BABY_03,Baby Bath & Skin,BABY_03_02,Baby Shampoo,155,150,200ML,Yes,No
